tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Shark School: Shark Mania;Shark School: Shark Mania;Animation,Documentary;null;2019;60;7;8
Wonder Dogs;Wonder Dogs;Animation,Family;null;2019;71;1.8;7
Kindaichi Case Files Movie 1: The Opera House Murders;Kindaichi shonen no jikenbo;Animation,Crime,Mystery;null;1996;95;7;12
Gekijouban Seitokai Yakuindomo 2;Gekijouban Seitokai Yakuindomo 2;Animation;GoHands;2021;80;6.3;56
Pompo: The Cinéphile;Eiga daisuki Pompo-san;Animation,Comedy,Drama;CLAP;2021;94;7.1;676
Gekijouban Bem: Become Human;Gekijouban Bem: Become Human;Animation;Production I.G;2020;90;6.8;38
Nephilim;Nephilim;Action,Animation,Fantasy;Motion Makers Animation Studio Pvt. Ltd.;2017;99;7.3;32
Adarna: The Mythical Bird;Adarna: The Mythical Bird;Animation;FLT Films International;1997;78;7.6;24
Dayo;Dayo;Adventure,Animation,Fantasy;Cutting Edge Productions;2008;90;7.3;43
Kurt Turns Evil;Kurt blir grusom;Animation,Comedy,Family;Nordisk Film Denmark;2008;74;6.3;961
Papelucho y el marciano;Papelucho y el marciano;Animation;Cineanimadores;2007;77;4.1;81
Xico's Journey;El Camino de Xico;Animation,Family,Fantasy;Ánima Estudios;2020;85;5.1;572
Deemo;Deemo;Animation,Fantasy,Music;Signal.MD;2021;89;6;25
Berry and Dolly - Fairy Cards;Berry and Dolly - Fairy Cards;Animation;null;2020;70;7.1;9
Chickenhare and the Hamster of Darkness;Hopper et le hamster des ténèbres;Adventure,Animation,Comedy;Dark Horse Entertainment;2022;91;6.3;1774
From Inside;From Inside;Animation,Horror;null;2008;71;6.2;270
Battlecry;Batorukurai;Animation;null;2021;75;5.3;30
Cheburashka;Cheburashka;Action,Animation,Family;Cheburashka Movie Partners;2010;80;6.8;270
The Flying Machine;The Flying Machine;Adventure,Animation,Family;SMB Investments;2011;85;4.7;370
Budak lapok;Budak lapok;Animation,Comedy,Drama;null;2007;90;6.9;10
The Watercolor;The Watercolor;Animation;null;2009;84;6.6;142
Hermes: Winds of Love;Ai wa kaze no gotoku;Adventure,Animation,Drama;IRH Press;1997;117;5.7;40
Ghost in the Shell: SAC_2045 - Sustainable War;Kôkaku kidôtai SAC_2045 Jizoku kanô sensô;Action,Animation,Sci-Fi;FlyingDog;2021;119;5.9;344
Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko;Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko;Animation,Family,Fantasy;null;2021;65;6.6;22
Mobile Suit Gundam: Cucuruz Doan's Island;Kidô senshi Gundam Cucuruz Doan no shima;Action,Animation,Drama;Bandai Namco Filmworks;2022;109;6.6;177
Curious George: Cape Ahoy;Curious George: Cape Ahoy;Adventure,Animation,Comedy;Universal 1440 Entertainment;2021;88;6.7;75
Boku ga Aishita Subete no Kimi e;Boku ga Aishita Subete no Kimi e;Animation,Fantasy,Romance;BAKKEN RECORD;2022;102;4.6;8
Kimi o Aishita Hitori no Boku e;Kimi o Aishita Hitori no Boku e;Animation,Fantasy,Romance;TMS Entertainment;2022;98;4.7;8
Freddy Frogface;Orla Frøsnapper;Animation,Comedy,Family;Crone Film Produktion;2011;78;5;611
The Drawn Together Movie!;The Drawn Together Movie: The Movie!;Animation,Comedy,Mystery;Comedy Central;2010;70;6.1;4381
Book Girl;Bungaku shôjo;Animation,Comedy,Fantasy;Production I.G;2010;101;6.2;222
Black is Beltza II: Ainhoa;Black is Beltza II: Ainhoa;Animation;Talka Records & Films;2022;80;6.5;12
Gekijôban Tensei shitara slime datta ken;Gekijôban Tensei shitara slime datta ken;Animation;8bit;2022;108;9.2;35
The Odd Squad Episode 1: Making History;The Odd Squad Episode 1: Making History;Animation,Comedy,Family;null;2009;0;6.8;9
Macross Frontier: The False Songstress;Gekijouban Makurosu F: Itsuwari no utahime;Action,Animation,Sci-Fi;8bit;2009;120;6.8;275
Novye priklyucheniya Alyonushki i Eryomy;Novye priklyucheniya Alyonushki i Eryomy;Animation,Family;Paradise Production Center;2009;75;3.7;99
The Laws of the Universe: The Age of Elohim;The Laws of the Universe: The Age of Elohim;Animation;Nikkatsu Corporation;2021;119;5.1;40
Drifting Home;Ame wo Tsugeru Hyôryû Danchi;Adventure,Animation,Drama;Studio Colorido;2022;119;6.2;1890
Gora Automatikoa;Gora Automatikoa;Animation;39 Escalones Films;2021;71;6;51
Les voisins de mes voisins sont mes voisins;Les voisins de mes voisins sont mes voisins;Animation,Family;Lardux films;2021;93;5.8;28
Catalina la Catrina: especial Día de Muertos;Catalina la Catrina: especial Día de Muertos;Animation;¡kartoons animation;2021;0;7.6;21
Veer Yodha Prithviraj Chauhan;Veer Yodha Prithviraj Chauhan;Action,Animation,Drama;null;2008;85;7.9;45
The Timekeepers of Eternity;The Timekeepers of Eternity;Animation,Horror,Mystery;Alamo Drafthouse;2021;64;7;159
I Lampaclima e l'isola misteriosa;I Lampaclima e l'isola misteriosa;Animation;null;2006;0;5.8;6
Finnick;Finnick;Adventure,Animation;Riki Group;2022;85;5.9;155
Wrath of the Tarot Kings;Wrath of the Tarot Kings;Action,Adventure,Animation;null;2022;105;8.8;9
Teddy Boom!;Teddy Boom!;Adventure,Animation,Comedy;Riki Group;2021;70;6;19
The Motel Life;The Motel Life;Animation,Drama,Mystery;Polsky Films;2012;85;5.9;3694
Jensen & Jensen;Jensen & Jensen;Action,Animation,Comedy;Miso Film;2011;90;3.5;527
Macross Frontier: The Wings of Goodbye;Gekijôban Macross F: Sayonara no tsubasa;Action,Animation,Sci-Fi;8bit;2011;114;7.1;181
Nahuel's Adventures;Las aventuras de Nahuel;Animation,Family;null;2009;83;4.6;15
The Cosmic Eye;The Cosmic Eye;Animation,Sci-Fi;Hubley Studios;1986;71;6.4;117
The Dagger of Kamui;Kamui no ken;Action,Adventure,Animation;Madhouse;1985;132;6.9;731
Dot and the Koala;Dot and the Koala;Animation,Family;Yoram Gross Films;1985;70;6.2;100
Solan og Ludvig - Jul i Flåklypa;Solan og Ludvig - Jul i Flåklypa;Animation,Family;Qvisten Animation;2013;76;6.8;1858
The 5 Powers;The 5 Powers;Animation,Documentary,Drama;null;2016;58;8;7
Xi Yang Yang Yu Hui Tai Lang Zhi Xi Qi Yang Yang Guo She Nian;Xi Yang Yang Yu Hui Tai Lang Zhi Xi Qi Yang Yang Guo She Nian;Action,Animation,Comedy;广东原创动力文化传播有限公司;2013;86;5.4;43
Jay and Silent Bob's Super Groovy Cartoon Movie;Jay and Silent Bob's Super Groovy Cartoon Movie;Animation,Comedy;Phase 4 Films;2013;64;4.9;2143
The Return of Buratino;Vozvrashchenie Buratino;Animation;Animos;2013;76;3.2;94
Chhota Bheem and the Curse of Damyaan;Chhota Bheem and the Curse of Damyaan;Adventure,Animation,Fantasy;Green Gold Animation;2012;88;6.1;257
Short Peace;Short Peace;Animation,Fantasy,Sci-Fi;SUNRISE;2013;68;6.8;1666
Emil & Ida i Lönneberga;Emil & Ida i Lönneberga;Animation,Family;Filmlance International;2013;63;6;107
When Marnie Was There;Omoide no Marnie;Animation,Drama,Family;Studio Ghibli;2014;103;7.7;41292
Wolfy the Incredible Secret;Loulou, l'incroyable secret;Animation,Family;Wallimage;2013;80;6.4;144
Revengeance;Revengeance;Action,Animation,Comedy;Plymptoons;2016;75;6.2;209
All Creatures Big And Small;Ooops! Noah Is Gone...;Adventure,Animation,Comedy;Moetion Films;2015;87;5.8;4793
Ferdinand;Ferdinand;Adventure,Animation,Comedy;Blue Sky Studios;2017;108;6.7;58089
Tamako Love Story;Tamako rabu sutôrî;Animation,Comedy,Drama;Kyoto Animation;2014;83;7;2425
Scooby Doo & the Robots;Scooby Doo & the Robots;Animation,Comedy,Family;Hanna-Barbera Productions;2011;0;6.5;74
Ice Age: Collision Course;Ice Age: Collision Course;Adventure,Animation,Comedy;Blue Sky Studios;2016;94;5.6;67719
April and the Extraordinary World;Avril et le monde truqué;Adventure,Animation,Comedy;StudioCanal;2015;105;7.3;7836
Tehran 2121 AD;Tehran 1500;Adventure,Animation,Comedy;null;2012;75;4.5;554
Gu-Gu Ganmo;Gu-Gu Ganmo;Animation,Comedy;Toei Animation;1985;45;7.3;10
Two Buddies and a Badger;Knutsen & Ludvigsen og den fæle Rasputin;Animation;Tordenfilm;2015;75;5.8;331
The Prince and the 108 Demons;108 Rois-Démons;Animation;Same Player;2014;104;5.6;164
Micropolis;Micropolis;Animation,Comedy;null;2011;79;5.2;19
Heaven's Lost Property Final: Eternal My Master;Sora no otoshimono Final: Etânaru mai masutâ;Animation,Comedy,Fantasy;THE KLOCKWORX;2014;50;6.1;309
Investigation 13;Investigation 13;Animation,Horror,Mystery;Gorilla Studios Miami;2019;90;3.2;711
Freak Out!;Freak Out!;Animation,Biography,Documentary;Final Cut for Real;2014;89;7.2;95
Hôtel;Hôtel;Animation,Comedy;Lardux films;2012;80;7;30
Where Is Anne Frank;Where Is Anne Frank;Animation,Drama,Family;Submarine;2021;99;6.5;1019
Extraordinary Tales;Extraordinary Tales;Animation,Horror,Mystery;Melòn Digital;2013;73;6.4;3344
Detective Conan: The Sniper from Another Dimension;Meitantei Conan: Ijigen no sunaipâ;Action,Adventure,Animation;Shogakukan-Shueisha Productions;2014;110;6.8;1388
Wake Up, Girls! 7 Nin No Idol the Movie;Wake Up, Girls! 7 Nin No Idol the Movie;Animation,Comedy,Drama;Ordet;2014;53;6.9;69
Deadstar the Movie;Deadstar the Movie;Animation;null;2014;63;8;10
Axel: The Biggest Little Hero;Bonta 3D;Adventure,Animation,Comedy;Versatile Media;2013;80;4.4;142
Despicable Me 3;Despicable Me 3;Adventure,Animation,Comedy;Illumination;2017;89;6.2;136986
Mission H2O;Mission H2O;Animation;Albatros Producciones;2018;94;7.2;11
Peppa Celebrates Chinese New Year;Xiao zhu pei qi guo da nian;Animation,Family;Alibaba Pictures Group;2019;81;3.5;86
The Adventures of Açela;Açela;Adventure,Animation,Comedy;Özgür Dogruöz Film;2020;70;5.3;3771
G Affairs;G Saat;Animation,Crime,Drama;Film Development Fund of Hong Kong;2018;105;6;263
Hello Carbot the Movie: The Secret of Omphalos Island;Hello Carbot the Movie: The Secret of Omphalos Island;Adventure,Animation,Family;null;2019;78;7.1;17
The Relative Worlds;Ashita sekai ga owaru to shitemo;Animation,Drama,Family;Shochiku Media Division;2019;93;5.7;350
Monty and the Street Party;Mugge & vejfesten;Animation,Comedy,Family;new creations;2019;80;4.9;266
Combat Wombat;Combat Wombat;Animation,Family,Fantasy;Like A Photon Creative;2020;90;5.2;233
Feather Friends;Feather Friends;Adventure,Animation;null;2019;70;2.7;123
Mission: Galaxy;Finding Callaro;Animation;null;2021;79;4.4;62
For Whom the Alchemist Exists: The Movie;Tagatame no Alchemist;Adventure,Animation,Drama;SATELIGHT;2019;0;5.5;37
Big Trip 2: Special Delivery;Bolshoye puteshestviye. Spetsialnaya dostavka;Adventure,Animation,Comedy;Licensing Brands;2022;90;4.8;169
Calamity, a Childhood of Martha Jane Cannary;Calamity, une enfance de Martha Jane Cannary;Adventure,Animation,Comedy;Maybe Movies;2020;85;7.2;531
Penguin League 2;Penguin League 2;Animation;Dream Machine Animation;2019;0;5.4;271
Avenger Dogs;Wonder Dogs;Animation;null;2019;71;2.1;118
Dog Geniuses;Dog Geniuses;Animation;null;2019;66;2.1;18
Shark School;Shark School;Animation;null;2019;60;5.6;56
Eiga Doraemon: Nobita no getsumen tansaki;Eiga Doraemon: Nobita no getsumen tansaki;Action,Adventure,Animation;Fujiko Productions;2019;111;6.8;854
Usuzumizakura: Garo;Usuzumizakura: Garo;Action,Animation,Fantasy;Studio M2;2018;82;5.6;20
NiNoKuni;Ni no kuni;Action,Adventure,Animation;OLM;2019;106;6.1;3544
Samsam;SamSam;Adventure,Animation,Family;France 3 Cinéma;2019;77;5;214
Rise of the Teenage Mutant Ninja Turtles: The Movie;Rise of the Teenage Mutant Ninja Turtles;Action,Adventure,Animation;Nickelodeon Movies;2022;82;5.9;4817
Fritzi: A Revolutionary Tale;Fritzi: A Revolutionary Tale;Animation,Family,History;Balance Film;2019;86;7;289
I Lost My Body;J'ai perdu mon corps;Animation,Drama,Fantasy;Studio Xilam;2019;81;7.5;33415
0009: The Sharks Make Contact;0009: The Sharks Make Contact;Animation,Comedy,Musical;Ènèng Studios;2019;133;1.8;81
Trinity Seven The Movie 2: Heavens Library & Crimson Lord;Trinity Seven: Heavens Library & Crimson Lord;Action,Animation,Comedy;Seven Arcs;2019;63;6.4;292
Sakigake!! Otokojuku Movie;Sakigake!! Otokojuku Movie;Action,Animation,Comedy;Toei Animation;1988;71;6.5;19
Code Geass: Lelouch of the Rebellion - Emperor;Code Geass: Lelouch of the Rebellion III - Emperor;Action,Animation,Sci-Fi;SUNRISE;2018;120;7.5;444
Hotel Transylvania 4: Transformania;Hotel Transylvania: Transformania;Adventure,Animation,Comedy;Sony Pictures Animation;2022;87;6;31161
Children of the Sea;Kaijû no kodomo;Adventure,Animation,Fantasy;Beyond C.;2019;111;6.5;3056
On Happiness Road;Hsing fu lu shang;Adventure,Animation,Drama;null;2017;110;7.2;683
Roxana;Roxana;Animation,Crime,Drama;null;2018;90;8.1;20
Si Juki;Si Juki;Adventure,Animation,Comedy;null;2017;110;5.5;116
Tri bogatyrya i printsessa Egipta;Tri bogatyrya i printsessa Egipta;Adventure,Animation,Family;null;2017;75;4.4;447
Conni and the Cat;Meine Freundin Conni - Geheimnis um Kater Mau;Adventure,Animation;null;2020;80;6.3;114
The Mobarak;Mobarak;Adventure,Animation,Comedy;null;2015;80;6.1;71
My Punkle;My Punkle;Animation,Biography,Comedy;null;2017;76;7.4;13
Zoo Wars;Zoo Wars;Animation,Comedy,Sci-Fi;null;2018;70;2.3;132
Penguin Rescue;Penguin Rescue;Animation;null;2018;70;4;24
ImaginationLand;ImaginationLand;Animation;null;2018;70;6.2;100
Bee Team;Bee Team;Animation,Family;null;2018;70;5.6;44
Easter Bunny Adventure 2;Easter Bunny Adventure 2;Animation;null;2018;0;5.5;7
Sea Monsters 2;Sea Monsters 2;Animation;null;2018;106;3.6;40
Fishtales 3;Fishtales 3;Animation;null;2018;74;5.8;28
Scooby-Doo & Batman: The Brave and the Bold;Scooby-Doo & Batman: The Brave and the Bold;Action,Animation,Comedy;null;2018;75;6.5;2547
The New Adventures of Max;The New Adventures of Max;Animation;null;2017;46;6.8;19
Dollhouse: the Eradication of Female Subjectivity from American Popular Culture;Dollhouse: The Eradication of Female Subjectivity from American Popular Culture;Animation,Comedy,Music;null;2018;77;6;50
Max Steel: Team Turbo;Max Steel: Team Turbo;Action,Adventure,Animation;null;2016;45;7.7;46
Pororo to the Cookie Castle;Pororo to the Cookie Castle;Animation;null;2004;71;5.9;17
The Legend of Hallowaiian;Legend of Hallowaiian;Adventure,Animation,Family;null;2018;82;5.2;1391
Naila and the Uprising;Naila and the Uprising;Animation,Documentary,History;null;2017;76;7.6;81
Is the Order a Rabbit?? ~ Dear My Sister ~;Gochuumon wa Usagi desu ka??: Dear My Sister;Animation,Comedy;null;2017;60;6.8;112
Sagu & Pagu: Büyük Define;Sagu & Pagu: Büyük Define;Animation,Family;null;2017;84;3.6;587
Dino King 3D: Journey to Fire Mountain;Dino King 3D: Journey to Fire Mountain;Action,Adventure,Animation;null;2019;95;5;325
Welcome to Siegheilkirchen;Rotzbub;Animation,Comedy,Drama;null;2021;86;6.5;291
Valley of the Lanterns;Valley of the Lanterns;Animation;null;2018;97;4.8;131
Gladiators of Rome;Gladiatori di Roma;Adventure,Animation,Comedy;Rainbow;2012;94;5.2;1531
UglyDolls;UglyDolls;Adventure,Animation,Comedy;Original Force Animation;2019;87;5;7021
Anina;Anina;Adventure,Animation,Family;ANTORCHA FILMS;2013;80;7;879
Gekijouban Sengoku Basara: The Last Party;Gekijouban Sengoku Basara: The Last Party;Action,Adventure,Animation;null;2011;94;6.5;181
Solar Adventure;Roboteuwang Sseonsyakeu;Action,Animation,Sci-Fi;null;1985;62;3.9;59
The Mysterious Presages of León Prozak;Los extraños presagios de León Prozak;Animation;null;2010;65;7.1;25
Pokémon the Movie: Black - Victini and Reshiram;Gekijôban Pokketo Monsutâ Besuto Wisshu: Bikutini to shiroki eiyû Reshiramu;Animation,Drama,Family;Media Factory;2011;88;5.6;1202
Fist of the North Star: The Kaioh Saga;Fist of the North Star: The Kaioh Saga;Action,Animation,Drama;null;2011;120;6.8;16
Fist of the North Star: The Raul Saga;Fist of the North Star: The Raul Saga;Action,Animation,Drama;null;2011;120;6.4;19
Fist of the North Star: The Ray Saga;Fist of the North Star: The Ray Saga;Action,Animation,Drama;null;2011;120;7.1;25
Fist of the North Star: The Souther Saga;Fist of the North Star: The Souther Saga;Action,Animation,Drama;null;2011;120;7.1;23
Fist of the North Star: The Toki Saga;Fist of the North Star: The Toki Saga;Action,Animation,Drama;null;2011;120;7.2;36
Janked;Janked;Animation,Comedy,Crime;null;2011;81;8.3;20
Kitaro's Graveyard Gang 2;Kitaro's Graveyard Gang 2;Animation;null;2011;96;7.3;17
Yuku and the Himalayan Flower;Yuku et la fleur de l'Himalaya;Animation,Family;Vivement lundi !;2022;62;7.1;24
Daisy, a Hen Into the Wild;Madangeul naon amtak;Adventure,Animation,Drama;Myung Films;2011;93;7;971
Heaven's Lost Property the Movie: The Angeloid of Clockwork;Gekijouban Sora no otoshimono: Tokei jikake no enjeroido;Action,Animation,Comedy;THE KLOCKWORX;2011;97;7;558
Journey to Yourland;Journey to Yourland;Adventure,Animation,Family;BFILM;2022;85;7.9;9
New Gods: Yang Jian;Xin shen bang: Yang Jian;Action,Animation,Fantasy;Light Chaser Animation Studios;2022;127;6.5;237
Detective Conan: The Bride of Halloween;Detective Conan: The Bride of Halloween;Action,Animation,Crime;TMS Entertainment;2022;111;6.9;813
Latte & the Magic Waterstone;Latte Igel und der magische Wasserstein;Adventure,Animation,Comedy;Dreamin' Dolphin Film;2019;81;5.6;1015
0000: A Shark Odyssey;0000: A Shark Odyssey;Animation,Comedy,Musical;Ènèng Studios;2018;91;1.6;55
Zoetrope;Zoetrope;Animation;null;2017;100;6.9;24
Urpo & Turpo johtolangan jäljillä;Urpo & Turpo johtolangan jäljillä;Animation,Family;Lumifilm;2018;60;6.9;8
Os Under Undergrounds, o Começo;Os Under Undergrounds, o Começo;Animation,Family,Musical;Tortuga Studios;2018;106;8.2;47
Infini-T Force the Movie: Farewell Gatchaman My Friend;Infini-T Force the Movie: Farewell Gatchaman My Friend;Action,Animation;Digital Frontier;2018;91;6.1;44
The Movie Drive Head Tomica Hyper Rescue;The Movie Drive Head Tomica Hyper Rescue;Action,Animation,Sci-Fi;OLM;2018;58;6.4;8
Par-courts Gay, Volume 1;Par-courts Gay, Volume 1;Animation,Drama,Romance;null;2011;150;6.2;14
Fireman Sam: Set for Action!;Fireman Sam: Set for Action!;Action,Adventure,Animation;DHX Media;2018;62;4.9;145
Natsume's Book of Friends the Movie: Ephemeral Bond;Gekijoban Natsume Yujin-cho: Utsusemi ni Musubu;Animation,Drama,Fantasy;Shuka;2018;104;7.1;520
The Seven Deadly Sins: Prisoners of the Sky;The Seven Deadly Sins: Prisoners of the Sky;Action,Animation,Fantasy;A-1 Pictures;2018;99;7.1;4926
Willy and the Guardians of the Lake;Willy and the Guardians of the Lake;Adventure,Animation,Family;null;2018;70;6.4;146
Laws of the Universe Part 1;Uchu no Ho: Reimei-hen;Action,Adventure,Animation;null;2018;120;6.7;42
Tiny Tim: King for a Day;Tiny Tim: King for a Day;Animation,Biography,Documentary;Momento Film;2020;78;6.8;303
The Prince of Tennis Best Games!!;The Prince of Tennis Best Games!!;Animation,Sport;null;2018;46;7.4;26
Promare;Promare: Puromea;Action,Adventure,Animation;TRIGGER;2019;111;7;4435
Beware the Eye of Amun-Ra;Beware the Eye of Amun-Ra;Adventure,Animation,Comedy;null;2018;90;5.6;31
The Prince's Voyage;Le voyage du prince;Animation;Blue Spirit;2019;77;6.8;243
Constantine: City of Demons - The Movie;Constantine: City of Demons;Action,Animation,Fantasy;Warner Bros. Animation;2018;90;7.3;7713
Ride Your Wave;Kimi to, nami ni noretara;Animation,Comedy,Drama;Science SARU;2019;95;6.8;3232
Coppelia;Coppelia;Animation,Family,Sci-Fi;Submarine;2021;82;6.7;111
Bigfoot Family;Bigfoot Family;Adventure,Animation,Family;nWave Pictures;2020;89;5.8;2958
The Crab with the Golden Claws;Le crabe aux pinces d'or;Adventure,Animation;Wilfried Bouchery & Cie.;1947;60;5.8;140
Chronopolis;Chronopolis;Animation,Drama,Fantasy;Production du Cirque;1982;52;6.7;502
The Best of Dr. Seuss;The Best of Dr. Seuss;Animation,Family;null;2000;57;7.1;44
Visiting Marco;Marco: Haha wo tazunete sanzenri;Adventure,Animation,Drama;Shochiku;1999;96;7.2;77
Days of Rage: A Requiem for Europe;Meres orgis, ena requiem gia tin Evropi;Animation;Ελληνικό Κέντρο Κινηματογράφου;1995;73;7.3;27
Ah! My Goddess: The Movie;Aa! Megamisama! The Movie;Animation,Comedy,Drama;Anime International Company;2000;106;7;1169
Recess: School's Out;Recess: School's Out;Adventure,Animation,Comedy;Disney Television Animation;2001;82;6.5;10876
Det var en gang;Det var en gang;Adventure,Animation,Family;Norsk Film;1994;62;6.2;28
Finding Nemo;Finding Nemo;Adventure,Animation,Comedy;Pixar;2003;100;8.2;1041555
Thru the Moebius Strip;Thru the Moebius Strip;Adventure,Animation,Sci-Fi;GDC Productions;2005;87;5.2;570
The Elm-Chanted Forest;Cudesna suma;Adventure,Animation,Family;Zagreb Film;1986;83;8.1;1500
Jimmy Neutron: Boy Genius;Jimmy Neutron: Boy Genius;Action,Adventure,Animation;Nickelodeon Movies;2001;82;6;35226
Pettson och Findus - Kattonauten;Pettson och Findus - Kattonauten;Animation,Family;Happy Life;2000;80;6.1;391
Corazón, las alegrías de Pantriste;Corazón, las alegrías de Pantriste;Adventure,Animation,Comedy;null;2000;80;5.4;77
Ico, the Brave Horse;Ico, el caballito valiente;Adventure,Animation,Drama;Producciones García Ferré;1983;85;7.3;319
Escaflowne: The Movie;Escaflowne;Action,Adventure,Animation;Bandai Visual;2000;98;6.6;3684
Eight Crazy Nights;Eight Crazy Nights;Animation,Comedy,Musical;Meatball Animation;2002;76;5.3;23430
Los pintin al rescate;Los pintin al rescate;Adventure,Animation,Comedy;Artear;2000;82;5.6;68
Bon Voyage, Charlie Brown (and Don't Come Back!!);Bon Voyage, Charlie Brown (and Don't Come Back!!);Adventure,Animation,Comedy;Bill Melendez Productions;1980;75;7.2;3285
Galaxy Express 999;Ginga tetsudô Three-Nine;Action,Adventure,Animation;Toei Animation;1979;129;7.4;2124
The Tale of John and Mary;Pohádka o Honzíkovi a Marence;Adventure,Animation,Family;Filmové studio Gottwaldov;1980;65;7.1;265
Terra e...;Terra e...;Action,Animation,Drama;Toei Animation;1980;113;6.5;340
Chie the Brat;Jarinko Chie;Animation,Comedy,Family;TOHO;1981;105;7.1;669
American Pop;American Pop;Animation,Drama,History;Bakshi Productions;1981;96;7.1;5040
The Fox and the Hound;The Fox and the Hound;Adventure,Animation,Drama;Walt Disney Productions;1981;83;7.2;94375
Grendel Grendel Grendel;Grendel Grendel Grendel;Adventure,Animation,Comedy;Victorian Film;1981;88;6.8;195
Heavy Metal;Heavy Metal;Adventure,Animation,Fantasy;Canadian Film Development Corporation (CFDC);1981;86;6.6;35708
The Looney, Looney, Looney Bugs Bunny Movie;Looney, Looney, Looney Bugs Bunny Movie;Animation,Comedy,Crime;Warner Bros. Pictures;1981;79;7.1;2443
Peter-No-Tail;Pelle Svanslös;Animation,Comedy,Drama;Sandrews;1981;81;7;898
Gauche the Cellist;Sero hiki no Gôshu;Animation,Fantasy,Music;Oh! Production;1982;60;7;1558
The Fantastic Adventures of Unico;Unico;Adventure,Animation,Family;Sanrio;1981;90;7.4;846
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales;Bugs Bunny's 3rd Movie: 1001 Rabbit Tales;Adventure,Animation,Comedy;Warner Bros. Pictures;1982;74;7;2070
Son of the White Mare;Fehérlófia;Adventure,Animation,Fantasy;Pannónia Filmstúdió;1981;86;7.8;2347
Heidi's Song;Heidi's Song;Adventure,Animation,Drama;Hanna-Barbera Productions;1982;94;6.2;308
Hey Good Lookin';Hey Good Lookin';Animation,Comedy,Drama;Bakshi Productions;1982;76;6.1;1087
The Last Unicorn;The Last Unicorn;Adventure,Animation,Drama;Rankin/Bass Productions;1982;92;7.3;27283
The Masters of Time;Les maîtres du temps;Adventure,Animation,Sci-Fi;Hungarofilm;1982;78;7.3;5619
Violet Evergarden: The Movie;Gekijouban Violet Evergarden;Animation,Drama,Fantasy;Kyoto Animation;2020;140;8.3;7110
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow;Love Live! Sunshine!! The School Idol Movie Over The Rainbow;Animation,Comedy,Music;SUNRISE;2019;100;6.5;230
It Must Schwing: The Blue Note Story;It Must Schwing: The Blue Note Story;Animation,Documentary,History;NDR;2018;115;7.7;217
Krish Trish and Baltiboy: Face Your Fears;Krish Trish and Baltiboy: Face Your Fears;Animation;null;2017;65;9;105
Tri bogatyrya i Naslednitsa prestola;Tri bogatyrya i Naslednitsa prestola;Adventure,Animation,Family;Melnitsa Animation Studio;2018;81;5.6;385
Aragne: Sign of Vermillion;Aragne: Sign of Vermillion;Animation;Saku Sakamoto;2018;75;5;61
Sevimli Emojiler 2;Sevimli Emojiler 2;Animation;Vişne Production;2018;80;1.2;7
Servamp: Alice in the Garden;Servamp: Alice in the Garden;Animation,Fantasy;Platinum Vision;2018;58;7.3;52
The Haunted House: The Secret of the Cave;The Haunted House: The Secret of the Cave;Adventure,Animation,Comedy;Cocktail Media;2018;68;8.1;84
Hello Carbot the Movie: The Cretaceous Period;Hello Carbot the Movie: The Cretaceous Period;Adventure,Animation,Sci-Fi;Choirock Contents Factory;2018;84;6.7;14
Mobile Suit Gundam: The Origin VI - Rise of the Red Comet;Mobile Suit Gundam: The Origin VI - Rise of the Red Comet;Action,Animation,Drama;SUNRISE;2018;84;7.7;430
Justice League vs the Fatal Five;Justice League vs. the Fatal Five;Action,Animation,Fantasy;Warner Bros. Animation;2019;77;6.5;9526
Wonder Woman: Bloodlines;Wonder Woman: Bloodlines;Action,Animation,Fantasy;Warner Bros. Animation;2019;83;5.9;7350
Sheep & Wolves: Pig Deal;Volki i ovtsy. Khod sviney;Adventure,Animation,Comedy;Wizart Animation;2019;86;5.7;1127
Kung Food;Mei shi Da mao xian;Action,Adventure,Animation;Beijing Culture;2018;99;6.4;73
Peter Pan: The Quest for the Never Book;Peter Pan: The Quest for the Never Book;Animation;null;2018;90;4.2;112
100% Wolf;100% Wolf;Adventure,Animation,Comedy;Flying Bark Productions;2020;96;5.6;1924
Crisis Jung;Crisis Jung;Animation,Fantasy;null;2018;70;7.1;222
Turu, the Wacky Hen;La gallina Turuleca;Adventure,Animation,Family;Argentina Sono Film;2019;80;4.6;284
Rafadan Tayfa Dehliz Macerasi;Rafadan Tayfa Dehliz Macerasi;Adventure,Animation;ISF Film;2018;83;6.3;270
Boonie Bears: The Wild Life;Xiong Chu Mo: Kuang Ye Da Lu;Animation;Huaqiang Fangte Animation;2020;99;4.5;151
The Witcher: Nightmare of the Wolf;The Witcher: Nightmare of the Wolf;Action,Adventure,Animation;Studio Mir;2021;83;7.2;44411
Quantum Cowboys;Quantum Cowboys;Animation,Comedy,Sci-Fi;Fit Via Vi;2022;99;7.6;61
A Princesa de Elymia;A Princesa de Elymia;Animation;null;2019;104;7.7;33
Ragnarok;Ragnarok;Action,Adventure,Animation;Nutland Video Ltd.;1983;80;3.9;14
Urduja;Urduja;Action,Animation,Comedy;Imaginary Friends Studio;2008;100;7.4;60
