tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Joseph: Beloved Son, Rejected Slave, Exalted Ruler;Joseph: Beloved Son, Rejected Slave, Exalted Ruler;Animation;Herald Entertainment;2015;90;6.3;20
Turning Red;Turning Red;Adventure,Animation,Comedy;Walt Disney Pictures;2022;100;7;119721
Doraemon the Movie: Nobita's Treasure Island;Doraemon Nobita no Takarajima;Adventure,Animation,Comedy;Shin-Ei Animation;2018;108;6.5;887
Code Geass: Lelouch of the Rebellion I - Initiation;Kôdo Giasu: Hangyaku no Rurûshu I - Kôdô;Action,Animation,Sci-Fi;SUNRISE;2017;135;7.3;546
Pokémon the Movie: The Power of Us;Gekijouban Poketto monsutâ: Minna no Monogatari;Action,Adventure,Animation;OLM;2018;100;6.2;2713
Ice Dragon: Legend of the Blue Daisies;Ice Dragon: Legend of the Blue Daisies;Adventure,Animation,Family;Chelsea Road Productions;2018;70;4.6;123
The Bad Guys;The Bad Guys;Adventure,Animation,Comedy;DreamWorks Animation;2022;100;6.8;39160
Free! Take your Marks;Tokubetsuban Free!: Take Your Marks;Animation,Drama,Sport;null;2017;100;7.3;227
Truth Has Fallen;Truth Has Fallen;Animation,Documentary;null;2013;60;9;78
Code Geass: Akito the Exiled - The Wyvern Arrives;Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita;Action,Adventure,Animation;SUNRISE;2012;60;6.6;855
Code Geass: Akito the Exiled 3 - The Brightness Falls;Code Geass: Boukoku no Akito 3 - Kagayakumono Ten Yori Otsu;Action,Animation,Sci-Fi;null;2015;60;6.4;598
Code Geass: Akito the Exiled 4 - From the Memories of Hatred;Code Geass: Boukoku No Akito 4;Action,Animation,Sci-Fi;null;2015;60;6.5;551
Kung Fu Panda 2;Kung Fu Panda 2;Action,Adventure,Animation;DreamWorks Animation;2011;90;7.2;286614
Yogi Bear;Yogi Bear;Adventure,Animation,Comedy;Sunswept Entertainment;2010;81;4.6;22271
Istanbul Muhafizlari: 100 Yilin Muhafizlari;Istanbul Muhafizlari: 100 Yilin Muhafizlari;Adventure,Animation;Neher Prodüksiyon;2021;60;5.7;40
The Ape Star;Apstjärnan;Animation,Family;LEE Film;2021;75;5.7;132
Tutenstein: Clash of the Pharaohs;Tutenstein: Clash of the Pharaohs;Animation;null;2008;71;7.4;37
Space Dogs: Tropical Adventure;Space Dogs: Tropical Adventure;Action,Adventure,Animation;KinoAtis;2020;80;7;494
